pathway	external_id	source	hgnc_symbol_ids
Protein export - Homo sapiens (human)	path:hsa03060	KEGG	SPCS1,HSPA5,SPCS3,OXA1L,SEC62,SEC63,IMMP2L,SRP54,SRPRB,SPCS2,SRP14,SRP19,SRP72,SRP9,IMMP1L,SEC61G,SEC61B,SEC11A,SEC11C,SRPR,SRP68,SEC61A1,SEC61A2
Pyruvate metabolism - Homo sapiens (human)	path:hsa00620	KEGG	PCK2,GRHPR,PCK1,ME3,ALDH3A2,LDHAL6B,LDHAL6A,ME1,MDH2,MDH1,ME2,FH,PKLR,ACAT1,HAGH,DLD,PC,ACAT2,LDHD,GLO1,PDHB,LDHA,LDHB,PKM,PDHA2,PDHA1,ACACA,ACACB,ACSS2,ACSS1,HAGHL,DLAT,ALDH9A1,ALDH7A1,ALDH1B1,ACOT12,ACYP1,ACYP2,ALDH2,LDHC
mTOR signaling pathway - Homo sapiens (human)	path:hsa04150	KEGG	RRAGD,RPS6KB1,CAB39,PRKAA2,HIF1A,IKBKB,RPS6,AKT2,AKT3,EIF4E2,RRAGA,RPS6KB2,TSC2,ULK1,RPTOR,RICTOR,PIK3CA,PIK3CB,PIK3CD,PIK3CG,MAPK3,PIK3R5,MAPK1,PIK3R3,PIK3R2,PIK3R1,ULK2,ULK3,STK11,DDIT4,RRAGC,RRAGB,PRKCA,PRKCB,PRKCG,AKT1S1,TNF,MTOR,PRKAA1,EIF4E,MLST8,EIF4B,CAB39L,RPS6KA1,RPS6KA2,RPS6KA3,VEGFA,RPS6KA6,AKT1,IRS1,INS,PTEN,EIF4EBP1,BRAF,IGF1,EIF4E1B,PDPK1,RHEB,STRADA
Glycerolipid metabolism - Homo sapiens (human)	path:hsa00561	KEGG	GK2,AGK,PPAP2B,PPAP2A,ALDH3A2,GLA,MGLL,DGKQ,MBOAT2,MBOAT1,AKR1A1,PNLIP,DGAT2,PPAP2C,PNLIPRP1,PNLIPRP3,AKR1B10,LPIN2,LPIN3,LPIN1,DGAT1,CEL,DAK,PNPLA3,PNPLA2,DGKH,DGKI,LCLAT1,DGKB,DGKA,PNLIPRP2,DGKD,DGKE,DGKZ,LIPC,LIPG,LIPF,GPAM,GPAT2,LPL,ALDH9A1,ALDH7A1,ALDH1B1,AKR1B1,GK,GLYCTK,ALDH2,DGKG,AGPAT6,AGPAT4,AGPAT3,AGPAT2,AGPAT1,AGPAT9,MOGAT3
Ether lipid metabolism - Homo sapiens (human)	path:hsa00565	KEGG	AGPS,PPAP2C,PPAP2B,PPAP2A,UGT8,PLA2G2F,PLA2G1B,GAL3ST1,TMEM86B,PLA2G12B,PLA2G12A,PLA2G6,PLA2G7,LPCAT4,CHPT1,LPCAT2,PLA2G3,LPCAT1,PLA2G4D,ENPP6,PLA2G4E,ENPP2,PAFAH2,PLA2G2A,PLA2G2C,PLA2G2E,PLA2G2D,PLB1,PLA2G4C,PLA2G4B,PLA2G4A,PAFAH1B1,PLA2G4F,PAFAH1B3,PAFAH1B2,PLD4,PLA2G5,PLA2G16,PLA2G10,PLD1,PLD2,PLD3,JMJD7-PLA2G4B,CEPT1,EPT1
Glycerophospholipid metabolism - Homo sapiens (human)	path:hsa00564	KEGG	PPAP2C,PPAP2B,PPAP2A,LYPLA1,LYPLA2,GPAT2,GPAM,DGKH,TAZ,PLA2G6,PLA2G5,PLA2G3,ETNK2,PCYT1A,PCYT2,GNPAT,PLD4,PCYT1B,PLD1,PLD2,PLD3,EPT1,ETNPPL,PLA2G1B,PGS1,CHKA,CHKB,PLA2G12B,PLA2G12A,PNPLA7,PNPLA6,ADPRM,JMJD7-PLA2G4B,PLA2G15,PLA2G16,PLA2G10,PISD,CRLS1,GPD1L,PTDSS1,PTDSS2,LCLAT1,MBOAT2,MBOAT1,MBOAT7,CHAT,CDIPT,CHPT1,GPCPD1,PLA2G2A,PLA2G2C,PLA2G2E,PLA2G2D,PLA2G2F,ACHE,CDS1,CDS2,AGPAT6,AGPAT4,AGPAT3,AGPAT2,AGPAT1,AGPAT9,LCAT,GPD1,GPD2,LPGAT1,DGKZ,LPIN2,LPIN3,LPIN1,DGKQ,LPCAT4,DGKI,LPCAT2,LPCAT3,ETNK1,LPCAT1,DGKB,DGKA,DGKG,DGKD,DGKE,PLB1,PLA2G4C,PLA2G4B,PLA2G4A,PLA2G4F,PLA2G4E,PLA2G4D,PEMT,CEPT1
Synaptic vesicle cycle - Homo sapiens (human)	path:hsa04721	KEGG	STX1A,ATP6V1D,SLC17A7,ATP6V1A,DNM3,SLC32A1,UNC13A,ATP6V1H,STXBP1,ATP6V1C2,ATP6V1F,CLTA,CLTC,CLTB,RAB3A,SLC18A1,AP2B1,TCIRG1,AP2S1,CACNA1A,CACNA1B,DNM2,NSF,AP2M1,NAPA,ATP6V1B1,ATP6V0D1,ATP6V0A1,ATP6V0B,ATP6V0C,ATP6V0E1,ATP6V1G1,SNAP25,STX1B,CPLX2,CPLX3,DNM1,CPLX1,UNC13B,ATP6V0D2,CPLX4,AP2A2,CLTCL1,ATP6V1B2,ATP6V0E2,VAMP2,SLC17A8,SYT1,STX3,STX2,ATP6V1E1,ATP6V1E2,ATP6V0A4,ATP6V1G3,ATP6V1G2,ATP6V0A2,SLC18A3,AP2A1,ATP6V1C1,SLC18A2,SLC17A6,UNC13C
Dopamine beta-hydroxylase deficiency	SMP00498	SMPDB	TAT,DBH,COMT,AOC1,ALDH3A1,GSTZ1,MAOA,MIF,FAH,HAAO,PNMT,ADH1A,DDC,DCT,GOT1,HGD,TYR,HPD
PI3K-Akt signaling pathway - Homo sapiens (human)	path:hsa04151	KEGG	BCL2L1,PCK2,PCK1,COL11A1,GHR,PPP2R3B,TNXB,STK11,IFNAR2,AKT1,AKT2,IFNAR1,IKBKG,FGF20,COL27A1,KITLG,PHLPP1,COL11A2,IRS1,PRL,PIK3CB,GNG10,GNG11,GNG13,HSP90AB1,RELN,ITGA2,PPP2R3C,IFNA13,OSM,MYC,MYB,IFNA17,IFNA16,IFNA14,BRCA1,IGF1R,PPP2R3A,DDIT4,CD19,CSF1R,PPP2R2D,CREB5,JAK1,CREB3,FN1,CREB1,PPP2R2B,PGF,FASLG,CSF3R,MDM2,FGFR2,FGFR3,FGFR1,IKBKB,YWHAZ,PKN1,SGK1,GH2,EPO,CCND1,PPP2CA,CCND3,CCND2,CSF1,GSK3B,TLR2,F2R,GNG4,GNG5,GNG2,GNG3,TLR4,MAPK1,CSF3,GNG8,ITGA8,ITGA9,NGF,PPP2CB,EFNA3,CDKN1B,CDKN1A,CCNE2,ITGA4,ITGA5,G6PC3,G6PC2,ITGB3,ITGA10,ITGA11,LAMB1,COL3A1,LAMB3,IFNA4,IBSP,LAMB4,ITGB4,VEGFC,THEM4,EFNA5,GNG7,PRLR,COL2A1,THBS4,CCNE1,THBS2,THBS3,MTCP1,THBS1,IFNA10,PIK3R5,PIK3R3,PIK3R2,PIK3R1,ITGB8,ANGPT2,CDK4,ANGPT1,ANGPT4,FIGF,IGF1,IL4R,SGK2,EIF4E1B,ITGA7,CHUK,GYS1,COL4A6,COL4A5,GYS2,COL4A3,COL4A2,FGF9,FGF8,FGF7,FGF6,FGF5,FGF4,FGF3,FGF2,FGF1,IL7,EPOR,VTN,RHEB,TP53,G6PC,ITGAV,INS,AKT3,COL4A4,EIF4EBP1,PIK3CA,PPP2R5D,PPP2R5E,VWF,LPAR5,FGF22,PPP2R5A,PPP2R5B,PPP2R5C,PDGFRB,PDGFRA,COL4A1,CHAD,PIK3CD,JAK2,VEGFB,EPHA2,MAP2K1,RAC1,PTEN,RPS6,EFNA1,NOS3,LAMC3,FLT4,CDC37,TSC2,PIK3AP1,FLT1,TEK,CRTC2,ITGB6,ATF2,ITGA2B,RPS6KB1,RPS6KB2,MAPK3,FGF19,FGF18,RAF1,ITGA1,FGF13,FGF12,FGF11,FGF10,FGF17,FGF16,KDR,FGF14,LAMA1,LAMA2,ITGA3,LAMA4,LAMA5,RBL2,ITGB5,COMP,IL7R,EFNA4,GNB1,RXRA,GNB3,GNB2,COL5A2,COL5A3,COL5A1,MTOR,HSP90B1,NFKB1,PHLPP2,CSH2,MLST8,COL1A2,RELA,LAMC2,IL2RA,HSP90AA1,SGK3,SOS2,SOS1,IL2RG,IFNA2,IFNA1,IFNA7,IFNA6,IFNA5,GH1,IL6,IFNB1,CDK2,IFNA21,SPP1,IL3,CDK6,COL1A1,LPAR2,LPAR3,LPAR1,LPAR6,FGF23,LPAR4,NGFR,PPP2R1A,PPP2R1B,PTK2,LAMC1,JAK3,VEGFA,EGFR,PRKAA2,PRKAA1,FGF21,FOXO3,MAP2K2,BAD,LAMA3,MCL1,PIK3CG,SYK,IFNA8,EGF,RPTOR,IL6R,LAMB2,BCL2L11,IL2,YWHAQ,NRAS,EIF4E,YWHAH,OSMR,GNB4,YWHAB,YWHAG,YWHAE,ITGB1,C8orf44-SGK3,PDGFB,PDGFC,PDGFD,CREB3L4,ITGB7,TNR,PRKCA,PPP2R2A,PKN3,PKN2,CHRM2,CHRM1,EFNA2,PRKCZ,PPP2R2C,TNC,PDPK1,HGF,COL24A1,TNN,KRAS,COL6A3,TCL1B,TCL1A,EIF4E2,HRAS,CSH1,IL3RA,KIT,CASP9,CREB3L2,CREB3L3,CREB3L1,FGFR4,GNGT2,GNGT1,IL4,COL6A1,ATF4,ATF6B,COL6A6,COL6A5,EIF4B,BCL2
Retinol metabolism - Homo sapiens (human)	path:hsa00830	KEGG	AOX1,RETSAT,AWAT2,RPE65,UGT2A3,UGT2A2,UGT2A1,DHRS4L1,CYP2S1,UGT1A8,UGT1A9,UGT1A4,UGT1A5,UGT1A6,UGT1A7,UGT1A1,ALDH1A2,UGT1A3,RDH8,DHRS9,DGAT1,DHRS4,RDH5,CYP2B6,DHRS3,ALDH1A1,CYP26B1,UGT2B15,UGT2B17,UGT2B10,UGT2B11,PNPLA4,LRAT,HSD17B6,RDH11,ADH1C,UGT2B7,UGT2B4,RDH12,CYP1A1,BCO1,CYP2A6,ADH1B,UGT1A10,CYP3A7,CYP3A4,CYP2C9,CYP2C8,CYP1A2,ADH7,ADH6,ADH5,ADH4,SDR16C5,ADH1A,RDH16,RDH10,CYP2C18,DHRS4L2,UGT2B28,CYP4A11,CYP26C1
Oxytocin signaling pathway - Homo sapiens (human)	path:hsa04921	KEGG	CD38,PTGS2,ACTG1,PPP3R1,PRKAG1,PRKAG3,PRKAG2,MYL6,PPP3R2,MYL9,EEF2K,CALM2,CALM3,CALM1,RYR1,PIK3CA,RYR3,RYR2,PIK3CD,CAMK4,CACNA1F,PIK3CG,CACNA1S,NPR1,NPR2,CAMK2D,CAMK2G,CAMK2A,CAMK2B,CACNA2D2,CACNA2D3,CACNA2D1,CACNA2D4,KRAS,ADCY4,ADCY5,ADCY6,ADCY7,ADCY1,ADCY2,ADCY3,CCND1,ADCY8,ADCY9,ELK1,GUCY1B3,ACTB,NFATC1,NFATC2,NFATC3,NFATC4,GNAO1,CDKN1A,MYLK,GUCY1A3,PRKAB2,RAF1,PRKAB1,JUN,PIK3R5,GUCY1A2,PIK3R3,PIK3R2,PIK3R1,CAMK1,TRPM2,PLCB1,PLCB2,PLCB3,PLCB4,FOS,OXT,PRKACB,ITPR2,ITPR3,RHOA,ITPR1,GNAQ,GNAS,CALML3,CALML6,CALML5,MEF2C,CAMKK2,CAMKK1,PIK3CB,CACNA1C,RCAN1,CACNA1D,GNAI2,GNAI3,GNAI1,CACNB3,CACNB2,CACNB1,CACNB4,MAPK3,MAPK1,PPP1R12A,PPP1R12B,PPP1R12C,HRAS,MAPK7,SRC,MYLK4,MYLK2,MYLK3,KCNJ3,KCNJ2,KCNJ6,KCNJ5,KCNJ4,KCNJ9,JMJD7-PLA2G4B,PRKACG,PRKACA,OXTR,MYL6B,CAMK1D,CAMK1G,EGFR,PRKAA2,PRKAA1,MAP2K2,MAP2K1,MAP2K5,PRKX,PPP3CB,NRAS,RGS2,KCNJ12,NOS3,KCNJ14,PRKCA,PRKCB,PRKCG,PPP3CA,PLA2G4C,PLA2G4B,PLA2G4A,PLA2G4F,PLA2G4E,PLA2G4D,PPP3CC,PPP1CB,PPP1CC,PPP1CA,ROCK1,ROCK2,CACNG8,CACNG1,CACNG2,CACNG3,CACNG4,CACNG5,EEF2,CACNG7
